Name,Location,Day,Notes
InterContinental Danang Sun Peninsula Resort,"InterContinental Danang Sun Peninsula Resort, Sơn Trà, Đà Nẵng",住宿,5天4夜住宿・度假村本身就是目的地
Da Nang International Airport (DAD),"Da Nang International Airport, Đà Nẵng",機場,Day1抵達/Day5離境・已訂接送+fast-track
Da Nang Cathedral (Pink Church),"Da Nang Cathedral, Trần Phú, Đà Nẵng",Day2,粉紅教堂・傍晚黃金時段外拍
Mì Quảng Bà Mua,"Mì Quảng Bà Mua, Đà Nẵng",Day2,峴港招牌薑黃寬麵
Cộng Cà Phê (Bạch Đằng),"Cộng Cà Phê, Bạch Đằng, Đà Nẵng",Day2,椰子咖啡・河岸冷氣休息
Bếp Cuốn,"Bếp Cuốn, 31-33 Trần Bạch Đằng, Phước Mỹ, Sơn Trà, Đà Nẵng",Day2,坐下來的越式料理・米其林指南店
Morning Glory Signature,"Morning Glory Signature, 41 Nguyễn Phúc Chu, An Hội, Hội An",Day3,已訂18:00 balcony河景位・道地越南菜
Mango Mango (備案),"Mango Mango, 45 Nguyễn Phúc Chu, Hội An",Day3,河景備案
Hoi An Ancient Town,"Hoi An Ancient Town, Hội An",Day3,會安古鎮・燈籠夜色
La Maison 1888,"La Maison 1888, InterContinental Danang Sun Peninsula Resort",Day4,已訂18:30・米其林級法餐・smart casual
Herbal Spa,"Herbal Spa, Dương Đình Nghệ, Sơn Trà, Đà Nẵng",備案SPA,首選備案・四手按摩・常含接送
Golden Lotus Oriental Organic Spa,"Golden Lotus Oriental Organic Spa, 63 Hà Bổng, Phước Mỹ, Sơn Trà, Đà Nẵng",備案SPA,首選備案・有機調理・20年品牌
Nguôn Spa,"Nguôn Spa, Đà Nẵng",備案SPA,竹林氛圍・最有蜜月感
Oani Spa,"Oani Spa, 144 Phạm Cự Lượng, Sơn Trà, Đà Nẵng",備案SPA,精緻小店・有中文服務
